date,close,episode,actions,transactions,total_assets,reward,assets_baseline,landmark,best_reward,landmark2,regret,actions_signal
2016-09-02,4.23,15,0.04884902,[57.74115753],1000593.9103868495,-0.038171163161894,952596.0,,1025403.52,-,0.9758050278458665,^
2016-09-05,4.24,15,0.03247057,[38.38128662],1000593.1776515604,-0.038171163161894,954848.0,,1027827.5199999999,-,0.9735030033556219,^
2016-09-06,4.28,15,0.03247057,[38.29076385],1000651.5826803594,-0.038171163161894,963856.0,,1037523.52,-,0.964461588957867,^
2016-09-07,4.27,15,0.04982145,[58.20262909],1000888.1956017016,-0.038171163161894,961604.0,,1035099.5199999998,-,0.9669487583200713,^
2016-09-08,4.27,15,0.05082395,[59.5128212],1000827.5912586884,-0.038171163161894,961604.0,,1035099.5199999998,-,0.9668902090290686,^
2016-09-09,4.24,15,0.03247057,[38.02174377],1000826.8288994492,-0.038171163161894,954848.0,,1027827.5199999999,-,0.9737303287028638,^
2016-09-12,4.16,15,0.03247057,[38.29076385],1000643.8447401955,-0.038171163161894,936832.0,,1008435.5199999999,-,0.9922735017705402,^
2016-09-13,4.13,15,0.05270654,[63.3492012],1000153.6354853292,-0.038171163161894,930076.0,,1001163.5199999999,-,0.9989912891405884,^
2016-09-14,4.09,15,0.03247057,[39.31061554],999967.298587631,-0.038171163161894,921068.0,,991467.5199999999,-,1.0085729269150754,^
2016-09-19,4.11,15,0.03247057,[39.69507217],999717.8440382598,-0.038171163161894,925572.0,,996315.52,-,1.0034149061918254,^
2016-09-20,4.08,15,0.02802517,[34.09388733],999842.63462659,-0.038171163161894,918816.0,,989043.5199999999,-,1.0109187456448732,^
2016-09-21,4.09,15,0.03247057,[39.79236221],999653.2749620408,-0.038171163161894,921068.0,,991467.5199999999,-,1.0082562008305032,^
2016-09-22,4.11,15,0.03247057,[39.69507217],999716.1655894556,-0.038171163161894,925572.0,,996315.52,-,1.0034132215359404,^
2016-09-23,4.19,15,0.03247057,[39.50190735],999843.2278042202,-0.038171163161894,943588.0,,1015707.52,-,0.9843810428854757,^
2016-09-26,4.11,15,0.0467893,[55.83448792],1000356.0979914912,-0.038171163161894,925572.0,,996315.52,-,1.004055520475573,^
2016-09-27,4.13,15,0.04126703,[50.20319366],999837.5721471562,-0.038171163161894,930076.0,,1001163.5199999999,-,0.9986755931210481,^
2016-09-28,4.18,15,0.02575686,[31.18264008],999967.413206857,-0.038171163161894,941336.0,,1013283.5199999998,-,0.9868584591278631,^
2016-09-29,4.17,15,0.04744295,[56.74993896],1000294.7361486471,-0.038171163161894,939084.0,,1010859.5199999999,-,0.989548712118423,^
2016-09-30,4.15,15,0.02575686,[30.88352585],1000227.9151460828,-0.038171163161894,934580.0,,1006011.52,-,0.9942509556412263,^
2016-10-10,4.36,15,0.02993296,[36.06380081],1000094.692405998,-0.038171163161894,981872.0,,1056915.52,-,0.9462390072633222,^
2016-10-11,4.8,15,0.04757455,[54.55796432],1001496.5988752017,-0.038171163161894,1080960.0,/,1163571.52,-,0.8607091026731228,^
2016-10-12,4.73,15,0.04603259,[47.95061493],1004458.1593515716,-0.038171163161894,1065196.0,,1146603.52,-,0.8760291956469587,^
2016-10-13,4.72,15,0.04603259,[48.66024399],1003982.8414409944,-0.038171163161894,1062944.0,,1144179.52,-,0.8774696836393246,^
2016-10-14,5.17,15,0.04867769,[51.56534576],1003913.8604323034,-0.038171163161894,1164284.0,/,1253259.52,-,0.8010422776858726,^
2016-10-17,5.06,15,0.04603259,[44.51894379],1007009.408064897,-0.038171163161894,1139512.0,,1226595.52,-,0.8209791994551693,^
2016-10-18,5.11,15,0.04603259,[45.48674774],1006246.9525861116,-0.038171163161894,1150772.0,,1238715.52,-,0.8123309479371918,^
2016-10-19,5.3,15,0.04941108,[48.34743881],1006594.7932482896,-0.038171163161894,1193560.0,,1284771.52,-,0.7834815588442446,^
2016-10-20,5.3,15,0.04603259,[43.42697144],1007927.6564692596,-0.038171163161894,1193560.0,,1284771.52,-,0.7845189909481023,^
2016-10-21,5.36,15,0.04938126,[46.5860939],1007926.9659804138,-0.038171163161894,1207072.0,,1299315.52,-,0.7757368787378248,^
2016-10-24,5.33,15,0.04938126,[46.06460571],1008352.7642729802,-0.038171163161894,1200316.0,,1292043.52,-,0.7804325076240313,^
2016-10-25,5.27,15,0.04938126,[46.32388306],1008137.3721102192,-0.038171163161894,1186804.0,,1277499.52,-,0.7891489243848946,^
2016-10-26,5.34,15,0.04938126,[46.85128784],1007704.5490705436,-0.038171163161894,1202568.0,,1294467.52,-,0.7784703235122837,^
2016-10-27,5.18,15,0.04938126,[46.23713303],1008211.1839827484,-0.038171163161894,1166536.0,,1255683.52,-,0.802918225750664,^
2016-10-28,5.13,15,0.05079082,[49.02589035],1007043.3295944436,-0.038171163161894,1155276.0,,1243563.52,-,0.8098044960296387,^
2016-10-31,5.13,15,0.0493,[48.05067825],1006675.393415892,-0.038171163161894,1155276.0,,1243563.52,-,0.8095086235851402,^
2016-11-01,5.19,15,0.05082395,[49.53601456],1006674.6539159538,-0.038171163161894,1168788.0,,1258107.52,-,0.8001499378335755,^
2016-11-02,5.09,15,0.0493,[47.49517822],1007120.3559377168,-0.038171163161894,1146268.0,,1233867.52,-,0.8162305430794683,^
2016-11-03,5.27,15,0.04651983,[45.69728088],1006370.7596182576,-0.038171163161894,1186804.0,,1277499.52,-,0.7877660569440039,^
2016-11-04,5.4,15,0.05222989,[49.55398178],1007726.2296064994,-0.038171163161894,1216080.0,,1309011.52,-,0.7698375562092069,^
2016-11-07,5.39,15,0.04941108,[45.75099945],1008711.3426875884,-0.038171163161894,1213828.0,,1306587.52,-,0.7720197286803936,^
2016-11-08,5.31,15,0.04932442,[45.75549316],1008634.3058168228,-0.038171163161894,1195812.0,,1287195.52,-,0.7835905968790373,^
2016-11-09,5.18,15,0.04932442,[46.44483948],1008019.5398744486,-0.038171163161894,1166536.0,,1255683.52,-,0.8027656044051996,^
2016-11-10,5.22,15,0.04932442,[47.61044312],1007014.9698054426,-0.038171163161894,1175544.0,,1265379.52,-,0.7958205059344113,^
2016-11-11,5.3,15,0.04522123,[43.31535339],1007325.0051884851,-0.038171163161894,1193560.0,,1284771.52,-,0.7840499182208562,^
2016-11-14,5.55,15,0.05079082,[47.91587067],1007949.3425969796,-0.038171163161894,1249860.0,/,1345371.52,-,0.7491977699936592,^
2016-11-15,5.42,15,0.04941108,[44.51448822],1009913.7338489548,-0.038171163161894,1220584.0,,1313859.52,-,0.7686618839196406,^
2016-11-16,5.71,15,0.051054,[47.09778214],1008885.3261798116,-0.038171163161894,1285892.0,,1384155.52,-,0.7288814815981166,^
2016-11-17,5.97,15,0.04941108,[43.26714706],1011190.705540887,-0.038171163161894,1344444.0,/,1447179.52,-,0.6987320450339755,^
2016-11-18,5.93,15,0.04941108,[41.38281631],1013268.7922620784,-0.038171163161894,1335436.0,,1437483.52,-,0.7048907192077433,^
2016-11-21,5.93,15,0.04938126,[41.6368103],1012946.5761081978,-0.038171163161894,1335436.0,,1437483.52,-,0.7046665662700591,^
2016-11-22,5.98,15,0.0493,[41.56829453],1012945.8353893424,-0.038171163161894,1346696.0,,1449603.52,-,0.6987744037689301,^
2016-11-23,5.8,15,0.05019401,[41.9682312],1013351.0998791748,-0.038171163161894,1306160.0,,1405971.52,-,0.7207479564587302,^
2016-11-24,5.82,15,0.04938126,[42.57004929],1011881.17832424,-0.038171163161894,1310664.0,,1410819.52,-,0.7172293578162571,^
2016-11-25,5.93,15,0.0493,[42.3539505],1012044.5299669089,-0.038171163161894,1335436.0,,1437483.52,-,0.7040390487168221,^
2016-11-28,6.05,15,0.0493,[41.56829453],1012950.9573898838,-0.038171163161894,1362460.0,,1466571.52,-,0.6906931871893188,^
2016-11-29,6.15,15,0.04938126,[40.81095886],1013944.8427284864,-0.038171163161894,1384980.0,,1490811.52,-,0.6801294658150256,^
2016-11-30,6.66,15,0.05019401,[40.80813599],1014777.037137604,-0.038171163161894,1499832.0,/,1614435.52,-,0.6285646125635318,^
2016-12-01,7.33,15,0.04603259,[34.55900192],1019045.0655297564,-0.038171163161894,1650716.0,^,1776843.52,^,0.5735142425652409,^
2016-12-02,6.84,15,0.04603259,[31.40012932],1024675.5363810392,-0.038171163161894,1540368.0,v,1776843.52,v,0.5766830476895564,^
2016-12-05,6.78,15,0.04603259,[33.64955521],1020541.1478039502,-0.038171163161894,1526856.0,,1761261.52,-,0.5794375998199008,^
2016-12-06,6.64,15,0.04941108,[36.4388504],1020032.2712289188,-0.038171163161894,1495328.0,,1724903.52,-,0.5913561305903757,^
2016-12-07,6.56,15,0.05019401,[37.79669189],1018840.6610892748,-0.038171163161894,1477312.0,,1704127.52,-,0.5978664443428945,^
2016-12-08,7.01,15,0.04938126,[37.63815308],1018156.3878875768,-0.038171163161894,1578652.0,,1820992.52,-,0.5591216749685368,^
2016-12-09,7.01,15,0.04941108,[35.24328232],1022017.3859778332,-0.038171163161894,1578652.0,,1820992.52,-,0.5612419462205331,^
2016-12-12,6.81,15,0.05019401,[35.80171585],1022016.644811606,-0.038171163161894,1533612.0,,1769052.52,-,0.5777197868673826,^
2016-12-13,7.23,15,0.05019401,[36.85316086],1020285.354542284,-0.038171163161894,1628196.0,^,1878126.52,^,0.5432463381339634,^
2016-12-14,6.85,15,0.05019401,[34.71231461],1023934.2084141672,-0.038171163161894,1542620.0,v,1878126.52,v,0.5451891539309967,^
2016-12-15,6.74,15,0.04941108,[36.06648254],1020618.2396408356,-0.038171163161894,1517848.0,,1847975.52,-,0.5522899132564459,^
2016-12-16,6.79,15,0.04938126,[36.63298035],1019653.8634116576,-0.038171163161894,1529108.0,,1861680.52,-,0.5477061463863078,^
2016-12-19,6.86,15,0.05079082,[37.40119553],1020092.970279522,-0.038171163161894,1544872.0,,1880867.52,-,0.5423523769922519,^
2016-12-20,7.1,15,0.05079082,[37.01955032],1020710.6131222742,-0.038171163161894,1598920.0,/,1946651.52,-,0.5243417235367706,^
2016-12-21,7.37,15,0.05019401,[35.34789276],1022838.9806552228,-0.038171163161894,1659724.0,/,2020658.52,-,0.5061909127798708,^
2016-12-22,7.68,15,0.04941108,[33.52176285],1025243.0422458586,-0.038171163161894,1729536.0,^,2105629.52,^,0.4869057127608368,^
2016-12-23,7.81,15,0.05019401,[32.6783905],1028013.7761418424,-0.038171163161894,1758812.0,,2105629.52,-,0.4882215823711677,^
2016-12-26,7.81,15,0.05019401,[32.13444519],1029179.5029001707,-0.038171163161894,1758812.0,,2105629.52,-,0.488775206238641,^
2016-12-27,7.55,15,0.04938126,[31.61412239],1029178.74999012,-0.038171163161894,1700260.0,,2105629.52,-,0.48877484866859194,^
2016-12-28,7.69,15,0.05019401,[33.24106216],1026828.47530677,-0.038171163161894,1731788.0,,2105629.52,-,0.4876586624349615,^
2016-12-29,7.54,15,0.05079082,[33.02394104],1028097.5098185872,-0.038171163161894,1698008.0,,2105629.52,-,0.4882613489473624,^
2016-12-30,7.31,15,0.04932442,[32.70849991],1026731.3078416736,-0.038171163161894,1646212.0,v,2105629.52,v,0.4876125159195496,^
2017-01-03,7.44,15,0.05079082,[34.74064636],1024629.37017805,-0.038171163161894,1675488.0,,2143069.52,-,0.4781129872903283,^
2017-01-04,7.43,15,0.04932442,[33.14813232],1025820.7581373384,-0.038171163161894,1673236.0,,2140189.52,-,0.4793130461349696,^
2017-01-05,7.84,15,0.04932442,[33.19274521],1025727.982957266,-0.038171163161894,1765568.0,^,2258269.52,^,0.4542097273478969,^
2017-01-06,7.68,15,0.05019401,[32.01148224],1029514.2999806238,-0.038171163161894,1729536.0,,2258269.52,-,0.4558863726684952,^
2017-01-09,7.71,15,0.04938126,[32.14925766],1028030.5493740283,-0.038171163161894,1736292.0,,2258269.52,-,0.4552293427642013,^
2017-01-10,7.54,15,0.04932442,[31.98730278],1028308.8352009616,-0.038171163161894,1698008.0,,2258269.52,-,0.45535257244270894,^
