,date,actions,transactions
503,2011-09-23,[-1.],[0.]
504,2011-09-26,[-1.],[0.]
505,2011-09-27,[-1.],[0.]
506,2011-09-28,[-1.],[0.]
507,2011-09-29,[-1.],[0.]
508,2011-09-30,[-1.],[0.]
509,2011-10-10,[-0.6939839],[0.]
510,2011-10-11,[-1.],[0.]
511,2011-10-12,[-1.],[0.]
512,2011-10-13,[-1.],[0.]
513,2011-10-14,[-1.],[0.]
514,2011-10-17,[-0.9787585],[0.]
515,2011-10-18,[-1.],[0.]
516,2011-10-19,[-1.],[0.]
517,2011-10-20,[-1.],[0.]
518,2011-10-21,[-1.],[0.]
519,2011-10-24,[-0.6939839],[0.]
520,2011-10-25,[-1.],[0.]
521,2011-10-26,[-1.],[0.]
522,2011-10-27,[-1.],[0.]
523,2011-10-28,[-1.],[0.]
524,2011-10-31,[-1.],[0.]
525,2011-11-01,[-1.],[0.]
526,2011-11-02,[-1.],[0.]
527,2011-11-03,[-1.],[0.]
528,2011-11-04,[-1.],[0.]
529,2011-11-07,[-1.],[0.]
530,2011-11-08,[-1.],[0.]
531,2011-11-09,[-1.],[0.]
532,2011-11-10,[-1.],[0.]
533,2011-11-11,[-1.],[0.]
534,2011-11-14,[-1.],[0.]
535,2011-11-15,[-1.],[0.]
536,2011-11-16,[-1.],[0.]
537,2011-11-17,[-1.],[0.]
538,2011-11-18,[-1.],[0.]
539,2011-11-21,[-1.],[0.]
540,2011-11-22,[-0.6939839],[0.]
541,2011-11-23,[-1.],[0.]
542,2011-11-24,[-0.9787585],[0.]
543,2011-11-25,[-1.],[0.]
544,2011-11-28,[-0.6939839],[0.]
545,2011-11-29,[-1.],[0.]
546,2011-11-30,[-1.],[0.]
547,2011-12-01,[-1.],[0.]
548,2011-12-02,[-1.],[0.]
549,2011-12-05,[-1.],[0.]
550,2011-12-06,[-1.],[0.]
551,2011-12-07,[-1.],[0.]
552,2011-12-08,[-1.],[0.]
553,2011-12-09,[-1.],[0.]
554,2011-12-12,[-0.6939839],[0.]
555,2011-12-13,[-0.6939839],[0.]
556,2011-12-14,[-1.],[0.]
557,2011-12-15,[-0.6939839],[0.]
558,2011-12-16,[-1.],[0.]
559,2011-12-19,[-1.],[0.]
560,2011-12-20,[-1.],[0.]
561,2011-12-21,[0.2098204],[0.]
562,2011-12-22,[-1.],[0.]
563,2011-12-23,[-1.],[0.]
564,2011-12-26,[-1.],[0.]
565,2011-12-27,[-0.6939839],[0.]
566,2011-12-28,[-0.9787585],[0.]
567,2011-12-29,[-0.6939839],[0.]
568,2011-12-30,[-0.6939839],[0.]
569,2012-01-04,[-0.6939839],[0.]
570,2012-01-05,[-0.6939839],[0.]
571,2012-01-06,[-0.9787585],[0.]
572,2012-01-09,[-1.],[0.]
573,2012-01-10,[-1.],[0.]
574,2012-01-11,[-1.],[0.]
575,2012-01-12,[-1.],[0.]
576,2012-01-13,[-1.],[0.]
577,2012-01-16,[-1.],[0.]
578,2012-01-17,[-0.6939839],[0.]
579,2012-01-18,[-1.],[0.]
580,2012-01-19,[-1.],[0.]
581,2012-01-20,[-1.],[0.]
582,2012-01-30,[-1.],[0.]
583,2012-01-31,[-1.],[0.]
584,2012-02-01,[0.2098204],[0.]
585,2012-02-02,[-1.],[0.]
586,2012-02-03,[-1.],[0.]
587,2012-02-06,[-1.],[0.]
588,2012-02-07,[-1.],[0.]
589,2012-02-08,[-1.],[0.]
590,2012-02-09,[-1.],[0.]
591,2012-02-10,[-1.],[0.]
592,2012-02-13,[-1.],[0.]
593,2012-02-14,[-1.],[0.]
594,2012-02-15,[-1.],[0.]
595,2012-02-16,[-1.],[0.]
596,2012-02-17,[-1.],[0.]
597,2012-02-20,[-1.],[0.]
598,2012-02-21,[-1.],[0.]
599,2012-02-22,[-1.],[0.]
600,2012-02-23,[-1.],[0.]
601,2012-02-24,[-1.],[0.]
602,2012-02-27,[-1.],[0.]
603,2012-02-28,[-1.],[0.]
604,2012-02-29,[-1.],[0.]
605,2012-03-01,[-1.],[0.]
606,2012-03-02,[-1.],[0.]
607,2012-03-05,[-1.],[0.]
608,2012-03-06,[-1.],[0.]
609,2012-03-07,[-1.],[0.]
610,2012-03-08,[-1.],[0.]
611,2012-03-09,[-1.],[0.]
612,2012-03-12,[-1.],[0.]
613,2012-03-13,[-1.],[0.]
614,2012-03-14,[0.2098204],[0.]
615,2012-03-15,[-1.],[0.]
616,2012-03-16,[-1.],[0.]
617,2012-03-19,[-1.],[0.]
618,2012-03-20,[-1.],[0.]
619,2012-03-21,[-1.],[0.]
620,2012-03-22,[-1.],[0.]
621,2012-03-23,[-1.],[0.]
622,2012-03-26,[-1.],[0.]
623,2012-03-27,[-1.],[0.]
624,2012-03-28,[-1.],[0.]
625,2012-03-29,[-1.],[0.]
626,2012-03-30,[-1.],[0.]
627,2012-04-05,[-1.],[0.]
628,2012-04-06,[-1.],[0.]
629,2012-04-09,[-1.],[0.]
630,2012-04-10,[-1.],[0.]
631,2012-04-11,[-1.],[0.]
632,2012-04-12,[-1.],[0.]
633,2012-04-13,[-1.],[0.]
634,2012-04-16,[-1.],[0.]
635,2012-04-17,[-1.],[0.]
636,2012-04-18,[0.2098204],[0.]
637,2012-04-19,[-1.],[0.]
638,2012-04-20,[-1.],[0.]
639,2012-04-23,[-1.],[0.]
640,2012-04-24,[-1.],[0.]
641,2012-04-25,[-1.],[0.]
642,2012-04-26,[-1.],[0.]
643,2012-04-27,[-1.],[0.]
644,2012-05-02,[-1.],[0.]
645,2012-05-03,[-1.],[0.]
646,2012-05-04,[-1.],[0.]
647,2012-05-07,[-1.],[0.]
648,2012-05-08,[-1.],[0.]
649,2012-05-09,[-1.],[0.]
650,2012-05-10,[-1.],[0.]
651,2012-05-11,[-1.],[0.]
652,2012-05-14,[-1.],[0.]
653,2012-05-15,[-1.],[0.]
654,2012-05-16,[-1.],[0.]
655,2012-05-17,[-1.],[0.]
656,2012-05-18,[-1.],[0.]
657,2012-05-21,[-1.],[0.]
658,2012-05-22,[-1.],[0.]
659,2012-05-23,[-1.],[0.]
660,2012-05-24,[-1.],[0.]
